,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,hyb_protocol,scan_protocol,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_fax,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,series_id,data_row_count
GSM1116084,['Basal Sample1 rep1'],['GSM1116084'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116084/suppl/GSM1116084_BC04_ARN0001_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116085,['Basal Sample2 rep1-2'],['GSM1116085'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116085/suppl/GSM1116085_BC04_ARN0002_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116085/suppl/GSM1116085_BC16_ARN0062_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116086,['Her2 Sample3 rep1'],['GSM1116086'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116086/suppl/GSM1116086_BC04_ARN0003_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116087,['Basal Sample4 rep1-2'],['GSM1116087'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116087/suppl/GSM1116087_BC04_ARN0004_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116087/suppl/GSM1116087_BC16_ARN0110_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116088,['Her2 Sample5 rep1-2'],['GSM1116088'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116088/suppl/GSM1116088_BC04_ARN0005_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116088/suppl/GSM1116088_BC16_ARN0103_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116089,['Her2 Sample6 rep1-2'],['GSM1116089'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Her2 Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Her2', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116089/suppl/GSM1116089_BC04_ARN0006_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116089/suppl/GSM1116089_BC16_ARN0097_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116090,['Basal Sample7 rep1'],['GSM1116090'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116090/suppl/GSM1116090_BC04_ARN0007_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116091,['Basal Sample8 rep1-2'],['GSM1116091'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116091/suppl/GSM1116091_BC04_ARN0008_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116091/suppl/GSM1116091_BC16_ARN0049_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
GSM1116092,['Basal Sample9 rep1'],['GSM1116092'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116092/suppl/GSM1116092_BC04_ARN0009_s1h1s1_U133p2.CEL.gz'],['GSE45827'],['29873']
GSM1116093,['Basal Sample10 rep1-2'],['GSM1116093'],['Public on Mar 24 2016'],['Apr 05 2013'],['Mar 24 2016'],['RNA'],['1'],['Human Basal Tumor Sample'],['Homo sapiens'],['9606'],"['diagnosis: Breast cancer', 'tumor subtype: Basal', 'batch: 8', 'hybridation: -1']",['total RNA'],"['Total RNA was extracted and purified from tumor samples by using the Rneasy Mini Kit (Qiagen) and then, the RNA clean up kit (Macherey Nagel) according to the manufacturers’ instructions']",['Biotin'],"['After RNA quality and quantity controls, 2 µg of total RNA were amplified and labeled according to the Affymetrix one cycle synthesis target preparation protocol to hybridize Affymetrix U133 plus 2.0 chips, as described by the company.']",['See manufacturer protocol.'],['See manufacturer protocol.'],"['The data were first normalized by using GC-RMA (R version 2.14.1). A linear mixed model using Restricted Maximum Likelihood (REML using name package) was then applied. The model included the different experimental batches and the sample type as fixed effects, and treated technical variation as random effects. No interaction terms were included. This model was used to derive significance for differential expression between different tumor types and for correction of batch and hybridization effects. For further analysis, technical replicates were averaged. We choose to discard probe-sets with noise-level signal from the analysis: specifically, we considered as not expressed and therefore discarded, all the probe-sets with a log2 intensity of less than 4 in 95% or more of tissue samples.']",['GPL570'],"['Fatima,,Mechta-Grigoriou']",['fatima.mechta-grigoriou@curie.fr'],['+33156246653'],['+33156246650'],"['""Stress and Cancer"" Lab.']",['INSERM U830'],['Institut Curie'],"[""26 rue d'Ulm""]",['PARIS'],['75248'],['France'],"['ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116093/suppl/GSM1116093_BC04_ARN0010_s1h1s1_U133p2.CEL.gz', 'ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1116nnn/GSM1116093/suppl/GSM1116093_BC16_ARN0084_s1h1s1_U133p2.CEL.gz']",['GSE45827'],['29873']
